SalesID,OrderDate,CustomerID,ProductID,RegionID,Quantity,UnitPrice,Discount,Sales,Cost,Profit
S000029,2024-08-11,C01204,P066,R15,4,7150.68,0.05,27172.58,21163.55,6009.03
S000030,2026-02-16,C04000,P016,R10,2,3027.57,0.1,5449.63,3114.89,2334.74
S000031,2024-08-04,C01516,P081,R05,2,3246.59,0.2,5194.54,4496.26,698.28
S000032,2025-04-19,C00609,P026,R18,3,3379.65,0.1,9125.06,7582.17,1542.89
S000033,2025-08-08,C02356,P003,R06,2,2283.29,0.1,4109.92,2765.21,1344.71
S000034,2025-11-22,C03487,P053,R11,5,3260.13,0.1,14670.58,8917.01,5753.57
S000035,2026-01-13,C02689,P088,R15,4,3189.93,0.05,12121.73,10642.75,1478.98
S000036,2025-06-21,C00270,P074,R08,1,6132.03,0.1,5518.83,4462.86,1055.97
S000037,2025-10-02,C00083,P031,R15,3,3190.65,0.05,9093.35,6234.85,2858.5
S000038,2026-02-18,C03671,P040,R15,3,10187.66,0.05,29034.83,17561.49,11473.34
S000039,2026-07-13,C04988,P060,R05,3,33266.07,0.15,84828.48,72952.04,11876.44
S000040,2024-06-16,C01046,P024,R03,5,2301.05,0.0,11505.25,5997.55,5507.7
S000041,2025-02-17,C04822,P083,R02,2,21317.06,0.25,31975.59,20249.99,11725.6
S000042,2025-01-08,C02467,P030,R01,4,7016.18,0.0,28064.72,19940.48,8124.24
S000043,2024-12-20,C00703,P022,R10,2,2013.27,0.05,3825.21,2537.1,1288.11
S000044,2024-08-12,C01335,P010,R05,2,15894.34,0.1,28609.81,20436.13,8173.68
S000045,2025-11-19,C04824,P070,R08,3,6883.63,0.15,17553.26,13075.51,4477.75
S000046,2024-07-06,C01610,P003,R10,5,7744.39,0.2,30977.56,24728.5,6249.06
S000047,2026-03-19,C04193,P081,R06,3,311.66,0.05,888.23,741.82,146.41
S000048,2024-06-24,C03144,P098,R12,4,7023.68,0.0,28094.72,22355.67,5739.05
S000049,2024-11-16,C04036,P012,R07,5,3312.16,0.0,16560.8,9443.85,7116.95
S000050,2024-02-04,C02156,P010,R15,2,5431.65,0.05,10320.13,6873.26,3446.87
S000051,2025-02-02,C00577,P094,R03,1,6759.36,0.0,6759.36,5131.95,1627.41
S000052,2025-08-28,C02438,P013,R11,1,5501.36,0.1,4951.22,3327.18,1624.04
S000053,2026-08-09,C04727,P041,R06,3,5831.45,0.0,17494.35,11159.97,6334.38
S000054,2025-05-27,C04995,P088,R03,4,8127.15,0.0,32508.6,28590.15,3918.45
S000055,2024-05-31,C02050,P014,R03,4,2666.77,0.1,9600.37,5904.19,3696.18
S000056,2024-07-17,C00609,P067,R15,5,22101.98,0.05,104984.4,88977.79,16006.61
S000057,2024-12-30,C01074,P039,R16,2,6765.22,0.1,12177.4,6600.77,5576.63
S000058,2025-10-27,C01922,P044,R01,5,1621.49,0.25,6080.59,3575.06,2505.53
S000059,2025-11-25,C04898,P094,R05,4,5085.85,0.05,19326.23,15986.48,3339.75
S000060,2024-08-04,C02652,P065,R13,5,1182.96,0.15,5027.58,2837.92,2189.66
S000061,2024-10-30,C02479,P032,R14,5,8165.68,0.0,40828.4,34475.74,6352.66
S000062,2025-08-27,C04069,P094,R10,3,1208.42,0.1,3262.73,2249.78,1012.95
S000063,2026-04-07,C00888,P059,R01,5,2958.83,0.0,14794.15,9565.9,5228.25
S000064,2025-10-02,C01412,P010,R09,3,2574.13,0.0,7722.39,4729.01,2993.38
S000065,2024-07-10,C03742,P040,R08,4,8353.19,0.1,30071.48,25724.17,4347.31
S000066,2026-04-22,C01970,P025,R14,4,1566.52,0.0,6266.08,5238.0,1028.08
S000067,2026-06-08,C02972,P065,R15,1,5519.68,0.05,5243.7,4534.59,709.11
S000068,2024-09-01,C04107,P087,R01,1,853.79,0.0,853.79,741.69,112.1
S000069,2024-12-22,C03706,P004,R17,1,10699.56,0.05,10164.58,8500.01,1664.57
S000070,2026-05-17,C02652,P079,R08,3,3389.38,0.15,8642.92,7384.05,1258.87
S000071,2025-10-27,C00336,P092,R11,1,2321.48,0.1,2089.33,1430.18,659.15
S000072,2026-04-17,C04281,P100,R17,1,4377.32,0.2,3501.86,2595.92,905.94
S000073,2026-07-05,C00432,P067,R11,3,4749.53,0.2,11398.87,9391.73,2007.14
S000074,2025-09-08,C00322,P032,R01,5,2101.72,0.2,8406.88,4700.59,3706.29
S000075,2025-10-22,C01078,P015,R05,5,18928.1,0.0,94640.5,78053.12,16587.38
S000076,2025-08-17,C01436,P095,R16,4,10750.2,0.2,34400.64,28722.24,5678.4
S000077,2024-09-16,C03968,P042,R03,3,639.12,0.1,1725.62,964.81,760.81
S000078,2025-10-19,C02789,P035,R12,1,3823.24,0.0,3823.24,2251.8,1571.44
S000079,2025-09-05,C04618,P074,R08,4,2703.34,0.1,9732.02,7224.73,2507.29
S000080,2026-01-26,C00610,P072,R17,1,201.64,0.2,161.31,93.57,67.74
S000081,2024-01-27,C04889,P081,R18,5,4126.56,0.15,17537.88,9602.76,7935.12
S000082,2026-05-26,C02409,P089,R01,4,1557.11,0.0,6228.44,3897.65,2330.79
S000083,2025-12-07,C02991,P088,R18,2,3048.95,0.05,5793.0,3897.54,1895.46
S000084,2024-08-19,C00089,P018,R15,5,5188.53,0.0,25942.65,19974.25,5968.4
S000085,2026-08-16,C03642,P017,R18,3,7631.01,0.2,18314.42,11931.24,6383.18
S000086,2024-12-03,C02524,P021,R10,3,4900.41,0.05,13966.17,10341.13,3625.04
S000087,2024-10-01,C03743,P063,R18,1,341.46,0.0,341.46,189.97,151.49
S000088,2026-01-12,C04602,P059,R05,5,3463.63,0.15,14720.43,12714.67,2005.76
S000089,2025-11-22,C01091,P086,R02,1,549.21,0.0,549.21,351.29,197.92
S000090,2026-01-22,C04742,P085,R09,2,1147.84,0.05,2180.9,1677.49,503.41
S000091,2024-12-01,C02412,P082,R05,2,26174.08,0.25,39261.12,29772.86,9488.26
S000092,2025-03-20,C01596,P008,R17,2,4036.63,0.05,7669.6,4037.79,3631.81
S000093,2024-12-31,C03536,P070,R11,3,551.11,0.05,1570.66,979.04,591.62
S000094,2025-02-21,C00018,P086,R08,5,2920.72,0.0,14603.6,7668.65,6934.95
S000095,2026-07-23,C03412,P099,R01,4,34729.69,0.0,138918.76,83039.18,55879.58
S000096,2024-07-03,C04561,P035,R03,1,2013.03,0.1,1811.73,1435.13,376.6
S000097,2024-11-11,C01043,P078,R12,1,425.35,0.05,404.08,272.44,131.64
S000098,2024-05-25,C02836,P041,R02,2,3209.29,0.0,6418.58,4322.12,2096.46
S000099,2024-12-17,C03923,P017,R13,2,35715.3,0.1,64287.54,34381.83,29905.71
S000100,2025-04-14,C02904,P034,R01,2,2167.51,0.1,3901.52,3390.85,510.67
S000101,2024-04-07,C04640,P026,R08,1,18006.5,0.25,13504.88,9047.67,4457.21
S000102,2024-10-08,C04076,P092,R04,3,3420.27,0.1,9234.73,5875.72,3359.01
S000103,2024-12-05,C01376,P018,R05,4,44645.46,0.0,178581.84,120486.45,58095.39
S000104,2025-05-12,C01967,P014,R10,2,2942.47,0.05,5590.69,3764.59,1826.1
S000105,2025-12-13,C03355,P058,R08,5,2779.55,0.0,13897.75,11957.25,1940.5
S000106,2024-11-21,C02101,P058,R07,2,6700.17,0.1,12060.31,7108.97,4951.34
S000107,2026-03-14,C01962,P057,R04,1,1803.36,0.05,1713.19,1469.47,243.72
S000108,2024-05-05,C04258,P015,R16,2,2322.86,0.0,4645.72,2437.98,2207.74
S000109,2024-12-21,C00559,P050,R05,3,3040.23,0.1,8208.62,6540.65,1667.97
S000110,2026-07-06,C02458,P093,R15,3,21135.91,0.05,60237.34,51221.25,9016.09
S000111,2025-09-10,C01895,P009,R18,2,491.56,0.1,884.81,526.07,358.74
S000112,2024-06-30,C03680,P080,R09,5,1008.18,0.1,4536.81,3096.24,1440.57
S000113,2026-06-26,C04919,P013,R06,2,18831.15,0.0,37662.3,28685.83,8976.47
S000114,2025-04-21,C04526,P024,R05,5,3787.01,0.0,18935.05,14674.62,4260.43
S000115,2025-09-24,C01764,P090,R05,5,1127.03,0.05,5353.39,4690.87,662.52
S000116,2025-04-23,C01968,P030,R08,3,6089.34,0.2,14614.42,7914.41,6700.01
S000117,2025-04-04,C00614,P053,R12,3,3197.99,0.15,8154.87,6112.21,2042.66
S000118,2026-07-23,C04445,P039,R12,1,1882.6,0.2,1506.08,1297.0,209.08
S000119,2025-08-07,C01514,P062,R04,2,1302.32,0.25,1953.48,1469.9,483.58
S000120,2025-09-25,C01637,P041,R01,4,2360.1,0.05,8968.38,6293.61,2674.77
S000121,2025-10-10,C01890,P045,R15,4,336.52,0.15,1144.17,940.59,203.58
S000122,2024-02-07,C04648,P082,R17,2,1939.57,0.05,3685.18,2081.77,1603.41
S000123,2025-10-10,C04961,P056,R02,2,10209.08,0.0,20418.16,10905.16,9513.0
S000124,2026-04-05,C01527,P057,R12,1,6907.1,0.05,,4314.23,2247.51
S000125,2025-11-18,C03236,P081,R08,3,2205.81,0.05,6286.56,3766.61,2519.95
S000126,2025-07-02,C01172,P043,R18,5,820.38,0.05,3896.8,2595.48,1301.32
S000127,2024-04-14,C02299,P083,R15,5,1964.71,0.1,8841.2,7676.13,1165.07
S000128,2024-10-02,C03605,P072,R12,1,296.07,0.1,266.46,203.43,63.03
S000129,2024-02-19,C02517,P089,R07,4,5319.18,0.0,21276.72,15805.05,5471.67
S000130,2026-04-09,C04610,P046,R07,1,5929.44,0.15,5040.02,4302.07,737.95
S000131,2024-06-25,C02550,P056,R09,3,7676.82,0.2,18424.37,9870.4,8553.97
S000132,2024-06-28,C03841,P013,R08,2,10089.04,0.05,19169.18,16204.34,2964.84
S000133,2026-08-30,C02310,P012,R02,4,7927.28,0.1,28538.21,18146.6,10391.61
S000134,2024-11-05,C03701,P011,R01,2,3672.35,0.0,7344.7,5803.08,1541.62
S000135,2024-07-14,C04115,P064,R13,1,2008.69,0.0,2008.69,1093.13,915.56
S000136,2024-11-11,C04866,P033,R02,4,1900.49,0.0,7601.96,6631.81,970.15
S000137,2025-04-17,C01690,P029,R09,2,3141.46,0.1,5654.63,3206.08,2448.55
S000138,2026-05-13,C02788,P061,R02,5,7465.81,0.0,37329.05,20772.3,16556.75
S000139,2026-08-09,C03544,P040,R09,4,1241.02,0.05,4715.88,3231.66,1484.22
S000140,2025-10-23,C04439,P014,R08,3,4425.23,0.05,12611.91,7035.39,5576.52
S000141,2026-04-14,C00507,P056,R02,3,1165.35,0.0,3496.05,2433.16,1062.89
S000142,2025-03-05,C00186,P056,R06,5,5488.27,0.15,23325.15,17937.32,5387.83
S000143,2026-05-26,C00422,P014,R02,1,1615.02,0.25,1211.26,785.19,426.07
S000144,2025-06-25,C00661,P027,R08,4,24748.25,0.1,89093.7,69004.34,20089.36
S000145,2025-01-14,C01376,P024,R02,4,2415.92,0.05,9180.5,5275.68,3904.82
S000146,2026-08-02,C01358,P070,R08,1,4243.65,0.1,3819.28,2676.01,1143.27
S000147,2026-08-13,C00516,P025,R02,5,886.51,0.1,3989.3,2176.15,1813.15
S000148,2025-09-29,C04731,P003,R07,5,5809.32,0.15,24689.61,14691.23,9998.38
S000149,2026-01-16,C04056,P027,R06,3,10003.37,0.0,30010.11,25589.79,4420.32
S000150,2024-08-30,C00985,P047,R10,4,1403.11,0.25,4209.33,3494.81,714.52
S000151,2024-08-25,C01987,P077,R08,1,3090.32,0.1,2781.29,2058.17,723.12
S000152,2024-06-25,C01916,P006,R17,2,1250.97,0.15,2126.65,1540.3,586.35
S000153,2026-07-01,C04236,P089,R17,4,2777.03,0.05,10552.71,9138.65,1414.06
S000154,2025-10-23,C00178,P034,R10,3,8921.07,0.05,25425.05,16840.39,8584.66
S000155,2025-05-13,C04287,P035,R01,4,28722.55,0.1,103401.18,87237.89,16163.29
S000156,2024-09-27,C00391,P002,R15,1,7532.66,0.05,7156.03,5053.73,2102.3
S000157,2026-05-19,C02632,P028,R13,3,937.78,0.05,2672.67,2334.77,337.9
S000158,2026-05-02,C02914,P047,R15,1,3115.03,0.1,2803.53,1978.98,824.55
S000159,2025-05-26,C01050,P063,R17,3,7592.64,0.1,20500.13,12736.43,7763.7
S000160,2025-03-20,C00489,P077,R08,2,136.95,0.15,232.81,151.46,81.35
S000161,2024-04-23,C02143,P053,R09,1,4851.43,0.05,4608.86,3555.01,1053.85
S000162,2026-02-27,C04497,P011,R05,4,4185.5,0.1,15067.8,9885.73,5182.07
S000163,2025-04-04,C02827,P040,R02,3,32778.14,0.2,78667.54,56554.67,22112.87
S000164,2025-03-28,C04430,P074,R01,1,3494.71,0.05,3319.97,1955.49,1364.48
S000165,2025-04-18,C01748,P064,R13,4,16600.04,0.25,49800.12,35175.89,14624.23
S000166,2024-11-14,C03112,P059,R02,3,2678.58,0.1,7232.17,4341.77,2890.4
S000167,2026-03-23,C04357,P051,R16,1,7052.29,0.25,5289.22,4374.3,914.92
S000168,2025-01-13,C01982,P051,R04,3,4977.72,0.0,14933.16,8573.87,6359.29
S000169,2024-10-17,C04919,P100,R10,1,20938.01,0.0,20938.01,16972.19,3965.82
S000170,2024-08-29,C04440,P060,R16,3,15248.62,0.25,34309.4,24517.28,9792.12
S000171,2025-03-19,C02986,P060,R04,2,2177.8,0.15,3702.26,2975.8,726.46
S000172,2024-08-31,C02440,P034,R02,4,696.08,0.15,2366.67,1519.96,846.71
S000173,2025-03-19,C00839,P050,R07,4,8796.1,0.15,29906.74,25293.53,4613.21
S000174,2024-12-15,C00954,P072,R15,2,21244.56,0.0,42489.12,33689.08,8800.04
S000175,2026-01-12,C04405,P086,R05,2,702.88,0.15,1194.9,970.22,224.68
S000176,2024-11-02,C01729,P078,R09,5,22298.1,0.05,105915.98,89010.95,16905.03
S000177,2024-10-04,C04618,P067,R12,3,1457.98,0.0,4373.94,2696.36,1677.58
S000178,2024-12-14,C01816,P078,R12,3,14877.77,0.0,44633.31,23623.82,21009.49
S000179,2026-03-18,C01276,P004,R16,1,3368.28,0.1,3031.45,2399.6,631.85
S000180,2024-02-08,C02900,P027,R03,4,13338.91,0.1,48020.08,27367.82,20652.26
S000181,2026-06-06,C01517,P025,R18,1,5474.57,0.05,5200.84,3055.9,2144.94
S000182,2024-07-08,C02007,P066,R15,5,10944.63,0.0,54723.15,44567.88,10155.27
S000183,2024-11-09,C02322,P076,R18,4,2468.11,0.15,8391.57,4931.38,3460.19
S000184,2025-06-27,C04092,P015,R02,2,840.66,0.05,1597.25,1318.53,278.72
S000185,2026-05-19,C04187,P020,R14,2,11063.76,0.05,21021.14,15006.87,6014.27
S000186,2025-04-23,C03133,P050,R10,5,11400.5,0.0,57002.5,45500.56,11501.94
S000187,2025-02-25,C04710,P097,R15,1,2333.15,0.15,1983.18,1660.3,322.88
S000188,2025-05-10,C01261,P001,R02,4,5529.44,0.0,22117.76,16707.44,5410.32
S000189,2024-07-02,C03272,P088,R09,2,1959.51,0.05,3723.07,3013.43,709.64
S000190,2024-11-09,C02011,P020,R16,2,799.42,0.0,1598.84,1117.88,480.96
S000191,2024-01-11,C02107,P027,R15,1,5191.44,0.25,3893.58,3043.55,850.03
S000192,2024-05-16,C03617,P064,R11,3,6913.68,0.0,20741.04,13937.94,6803.1
S000193,2026-07-22,C01669,P073,R12,2,2356.73,0.2,3770.77,3069.72,701.05
S000194,2024-07-22,C01212,P088,R10,2,13837.11,0.0,27674.22,20248.99,7425.23
S000195,2025-04-10,C02391,P001,R16,1,1519.47,0.0,1519.47,899.75,619.72
S000196,2024-10-30,C00459,P005,R05,4,12683.14,0.0,50732.56,33960.01,16772.55
S000197,2024-08-31,C02820,P048,R18,5,1090.86,0.0,5454.3,2893.01,2561.29
S000198,2025-07-16,C03556,P056,R10,4,5780.86,0.1,20811.1,14048.98,6762.12
S000199,2024-08-17,C00769,P027,R18,3,3935.26,0.1,10625.2,9097.83,1527.37
S000200,2026-08-03,C02034,P064,R01,2,9964.98,0.25,14947.47,10893.62,4053.85
S000201,2025-09-15,C01390,P027,R10,1,5427.66,0.0,5427.66,4151.85,1275.81
S000202,2025-05-18,C00622,P094,R09,4,5552.58,0.1,19989.29,10601.81,9387.48
S000203,2025-12-08,C00658,P018,R09,1,3441.15,0.05,3269.09,2656.49,612.6
S000204,2026-04-19,C02398,P066,R04,2,6337.59,0.2,10140.14,8536.89,1603.25
S000205,2024-01-12,C02736,P054,R07,1,950.88,0.0,950.88,805.66,145.22
S000206,2026-05-10,C02802,P011,R17,2,296.01,0.1,532.82,299.16,233.66
S000207,2024-03-05,C00329,P061,R03,5,28310.01,0.05,134472.55,107820.44,26652.11
S000208,2024-07-25,C00129,P015,R05,4,608.84,0.0,2435.36,1693.78,741.58
S000209,2025-08-01,C00602,P054,R12,3,23209.34,0.0,69628.02,46565.4,23062.62
S000210,2025-12-25,C03956,P064,R10,2,1653.16,0.15,2810.37,2408.54,401.83
S000211,2024-04-09,C03221,P008,R18,1,17017.17,0.0,17017.17,9906.04,7111.13
S000212,2024-12-08,C02458,P022,R01,4,15524.51,0.25,46573.53,36237.1,10336.43
S000213,2025-01-05,C00156,P030,R05,3,3107.49,0.05,8856.35,7071.11,1785.24
S000214,2025-05-10,C00128,P093,R14,1,3135.73,0.1,2822.16,1496.02,1326.14
S000215,2026-08-12,C01964,P023,R03,3,1721.99,0.1,4649.37,2632.4,2016.97
S000216,2025-09-01,C04309,P093,R03,4,3668.18,0.15,12471.81,9122.06,3349.75
S000217,2025-09-21,C00555,P054,R05,1,5004.18,0.1,4503.76,3205.68,1298.08
S000218,2024-12-16,C02927,P095,R18,2,33525.64,0.15,56993.59,48767.06,8226.53
S000219,2026-08-03,C02862,P084,R09,2,526.47,0.2,842.35,518.54,323.81
S000220,2026-02-10,C04817,P030,R06,3,3024.56,0.1,8166.31,7000.89,1165.42
S000221,2024-02-12,C01489,P056,R16,2,7717.09,0.2,12347.34,6891.85,5455.49
S000222,2025-02-04,C01407,P072,R12,3,899.76,0.1,2429.35,1960.25,469.1
S000223,2026-03-26,C03017,P008,R05,5,12031.49,0.2,48125.96,32129.65,15996.31
S000224,2025-10-22,C02064,P067,R18,1,13512.04,0.0,13512.04,7043.76,6468.28
S000225,2025-08-03,C00859,P046,R18,1,8612.69,0.1,7751.42,5358.76,2392.66
S000226,2024-11-03,C03315,P004,R14,3,2291.81,0.05,6531.66,3420.71,3110.95
S000227,2024-10-30,C04801,P087,R07,4,8918.82,0.1,32107.75,27090.4,5017.35
S000228,2026-01-23,C04570,P027,R07,5,3045.94,0.0,15229.7,8462.58,6767.12
S000229,2024-04-23,C00506,P088,R06,5,2364.03,0.15,10047.13,8594.15,1452.98
S000230,2024-11-24,C03956,P021,R17,5,8254.78,0.15,35082.82,24487.79,10595.03
S000231,2026-02-11,C03503,P055,R02,2,2114.19,0.0,4228.38,3004.95,1223.43
S000232,2024-01-08,C03216,P038,R04,4,9453.83,0.15,32143.02,27885.4,4257.62
S000233,2025-11-27,C02324,P090,R04,4,9299.57,0.1,33478.45,22613.17,10865.28
S000234,2025-07-31,C03978,P096,R12,4,11349.89,0.15,38589.63,28531.46,10058.17
S000235,2025-11-05,C02851,P078,R02,3,1628.09,0.05,4640.06,3361.23,1278.83
S000236,2026-01-11,C00475,P085,R14,5,6603.76,0.1,29716.92,23687.75,6029.17
S000237,2025-01-21,C00648,P077,R03,4,2621.91,0.2,8390.11,4911.43,3478.68
S000238,2026-08-13,C03621,P030,R07,5,32970.36,0.1,148366.62,97549.42,50817.2
S000239,2025-04-27,C02030,P093,R04,2,894.6,0.0,1789.2,1513.97,275.23
S000240,2024-07-16,C02894,P054,R15,4,4145.52,0.0,16582.08,12014.22,4567.86
S000241,2026-02-23,C04029,P035,R12,3,3258.33,0.05,9286.24,6277.67,3008.57
S000242,2025-10-14,C01372,P020,R09,1,3680.63,0.0,3680.63,2809.08,871.55
S000243,2025-05-25,C04464,P071,R17,1,927.2,0.1,834.48,696.99,137.49
S000244,2025-05-08,C01193,P028,R16,3,1609.33,0.1,4345.19,3174.92,1170.27
S000245,2025-04-10,C02240,P066,R11,2,827.32,0.05,1571.91,1123.79,448.12
S000246,2026-06-07,C01442,P007,R04,2,794.17,0.1,1429.51,1189.02,240.49
S000247,2025-10-10,C03496,P064,R03,2,2478.12,0.0,4956.24,3443.48,1512.76
S000248,2026-03-13,C00615,P065,R17,5,40939.29,0.0,204696.45,171616.33,33080.12
S000249,2025-07-16,C01670,P053,R13,1,8884.64,0.05,8440.41,7335.04,1105.37
S000250,2024-11-15,C01367,P066,R10,4,1790.96,0.15,6089.26,4444.92,1644.34
S000251,2026-07-14,C03608,P100,R02,1,3026.65,0.0,3026.65,2376.95,649.7
S000252,2026-03-09,C00357,P084,R08,4,1047.2,0.0,4188.8,2886.28,1302.52
S000253,2024-12-19,C03223,P044,R18,2,218.19,0.05,414.56,350.6,63.96
S000254,2026-03-14,C03364,P088,R05,2,3704.56,0.1,6668.21,4418.01,2250.2
S000255,2024-06-02,C03634,P096,R06,1,2813.97,0.05,2673.27,2315.31,357.96
S000256,2025-07-14,C02562,P017,R02,2,2918.64,0.05,5545.42,3938.5,1606.92
S000257,2026-03-27,C03234,P036,R06,5,2236.89,0.05,10625.23,8690.83,1934.4
S000258,2026-03-11,C00639,P075,R06,2,2109.35,0.0,4218.7,2507.34,1711.36
S000259,2026-07-14,C02766,P052,R15,3,5976.96,0.05,17034.34,10028.79,7005.55
S000260,2025-06-06,C03486,P014,R08,3,1107.82,0.05,3157.29,1968.88,1188.41
S000261,2025-03-27,C01239,P048,R13,5,3866.85,0.15,16434.11,13889.71,2544.4
S000262,2024-06-25,C00891,P038,R11,3,572.32,0.1,1545.26,852.32,692.94
S000263,2025-09-09,C01496,P074,R06,1,26186.0,0.05,24876.7,17372.37,7504.33
S000264,2024-08-05,C02475,P052,R14,3,7839.65,0.05,22343.0,13996.39,8346.61
S000265,2026-03-02,C00239,P014,R16,4,1774.88,0.15,6034.59,4657.37,1377.22
S000266,2024-08-30,C04601,P005,R01,1,2443.24,0.1,2198.92,1582.77,616.15
S000267,2026-02-21,C03264,P029,R13,1,8092.45,0.1,7283.2,3829.73,3453.47
S000268,2025-04-03,C03805,P016,R18,3,9360.37,0.1,25273.0,13254.21,12018.79
S000269,2024-01-17,C04245,P088,R11,4,1981.81,0.2,6341.79,3401.19,2940.6
S000270,2025-01-10,C02921,P028,R05,5,1969.93,0.05,9357.17,6140.36,3216.81
S000271,2024-04-24,C03855,P064,R02,4,1868.94,0.1,6728.18,5255.83,1472.35
S000272,2025-06-04,C02925,P013,R13,1,7560.92,0.25,5670.69,3301.81,2368.88
S000273,2026-05-08,C03856,P045,R02,1,2632.73,0.0,2632.73,1915.97,716.76
S000274,2024-11-26,C00321,P094,R15,1,6179.36,0.1,5561.42,3536.64,2024.78
S000275,2024-10-17,C04123,P065,R15,4,5301.02,0.0,21204.08,16191.87,5012.21
S000276,2026-02-16,C02136,P029,R08,4,2271.21,0.05,8630.6,4721.17,3909.43
S000277,2024-01-18,C02387,P075,R12,3,880.39,0.15,2244.99,1177.68,1067.31
S000278,2024-02-26,C01536,P051,R08,2,10615.34,0.05,20169.15,13870.91,6298.24
S000279,2025-02-19,C02004,P024,R14,2,4065.61,0.1,7318.1,4369.71,2948.39
S000280,2025-01-22,C02374,P100,R01,3,4308.58,0.05,12279.45,7380.79,4898.66
S000281,2025-03-18,C01856,P094,R10,5,3449.75,0.0,17248.75,10085.92,7162.83
S000282,2026-07-23,C04758,P057,R08,1,954.45,0.05,906.73,660.89,245.84
S000283,2026-04-01,C02560,P004,R09,3,2298.9,0.1,6207.03,5374.34,832.69
S000284,2025-11-06,C03933,P042,R17,5,4648.14,0.0,23240.7,13714.84,9525.86
S000285,2025-09-02,C04786,P052,R10,5,2017.4,0.05,9582.65,5081.02,4501.63
S000286,2025-03-29,C03050,P093,R07,4,5185.54,0.0,20742.16,12251.28,8490.88
S000287,2025-09-21,C01687,P074,R13,4,3067.31,0.25,9201.93,6416.07,2785.86
S000288,2025-01-02,C03524,P023,R17,2,825.4,0.15,1403.18,979.89,423.29
S000289,2025-01-10,C00056,P052,R15,5,506.49,0.15,2152.58,1875.08,277.5
S000290,2026-07-06,C03653,P018,R13,5,5352.69,0.0,26763.45,19960.58,6802.87
S000291,2024-08-02,C00045,P048,R17,4,1517.66,0.05,5767.11,4405.75,1361.36
S000292,2024-12-21,C02282,P054,R16,4,2574.3,0.0,10297.2,5959.49,4337.71
S000293,2024-11-21,C01384,P051,R04,1,1454.94,0.0,1454.94,788.5,666.44
S000294,2026-04-16,C04332,P043,R04,1,10394.15,0.05,9874.44,6340.85,3533.59
S000295,2024-09-21,C03224,P044,R09,2,844.22,0.0,1688.44,1181.88,506.56
S000296,2024-02-13,C03087,P080,R13,5,9158.77,0.15,38924.77,31175.95,7748.82
S000297,2024-11-11,C03275,P051,R17,3,798.81,0.1,2156.79,1634.71,522.08
S000298,2025-08-19,C03691,P005,R02,1,6369.47,0.2,5095.58,3345.54,1750.04
