Date,RegionID,Target
2025-03-01,R07,1319276
2025-03-01,R08,1186031
2025-03-01,R09,1035720
2025-03-01,R10,1257267
2025-03-01,R11,995169
2025-03-01,R12,1127005
2025-03-01,R13,908548
2025-03-01,R14,1242464
2025-03-01,R15,1265679
2025-03-01,R16,1405368
2025-03-01,R17,1030550
2025-03-01,R18,882783
2025-04-01,R01,1500071
2025-04-01,R02,923792
2025-04-01,R03,1435946
2025-04-01,R04,1370317
2025-04-01,R05,959888
2025-04-01,R06,1428921
2025-04-01,R07,1254836
2025-04-01,R08,1475132
2025-04-01,R09,1359125
2025-04-01,R10,1236245
2025-04-01,R11,1033675
2025-04-01,R12,851112
2025-04-01,R13,1036138
2025-04-01,R14,1552749
2025-04-01,R15,1470372
2025-04-01,R16,1291464
2025-04-01,R17,860144
2025-04-01,R18,945327
2025-05-01,R01,1031209
2025-05-01,R02,1221312
2025-05-01,R03,1128332
2025-05-01,R04,862362
2025-05-01,R05,1481679
2025-05-01,R06,1555364
2025-05-01,R07,1416365
2025-05-01,R08,1566154
2025-05-01,R09,1057630
2025-05-01,R10,1241315
2025-05-01,R11,1339960
2025-05-01,R12,1347826
2025-05-01,R13,1205084
2025-05-01,R14,1198102
2025-05-01,R15,986326
2025-05-01,R16,1417346
2025-05-01,R17,1083576
2025-05-01,R18,860351
2025-06-01,R01,1095418
2025-06-01,R02,987868
2025-06-01,R03,1238981
2025-06-01,R04,1489345
2025-06-01,R05,1496750
2025-06-01,R06,1065712
2025-06-01,R07,898816
2025-06-01,R08,931139
2025-06-01,R09,1048719
2025-06-01,R10,1240912
2025-06-01,R11,914440
2025-06-01,R12,1541007
2025-06-01,R13,1187334
2025-06-01,R14,1147669
2025-06-01,R15,1182894
2025-06-01,R16,1519969
2025-06-01,R17,1283535
2025-06-01,R18,1581927
2025-07-01,R01,954739
2025-07-01,R02,1020084
2025-07-01,R03,1524380
2025-07-01,R04,1168155
2025-07-01,R05,858059
2025-07-01,R06,942174
2025-07-01,R07,1327139
2025-07-01,R08,1131342
2025-07-01,R09,911553
2025-07-01,R10,895141
2025-07-01,R11,916921
2025-07-01,R12,1108174
2025-07-01,R13,1540831
2025-07-01,R14,1395354
2025-07-01,R15,1437231
2025-07-01,R16,890307
2025-07-01,R17,1410895
2025-07-01,R18,867488
2025-08-01,R01,1502610
2025-08-01,R02,919204
2025-08-01,R03,1144894
2025-08-01,R04,960289
2025-08-01,R05,1562439
2025-08-01,R06,1185088
2025-08-01,R07,962868
2025-08-01,R08,1066044
2025-08-01,R09,1211537
2025-08-01,R10,1585012
2025-08-01,R11,954178
2025-08-01,R12,996614
2025-08-01,R13,902080
2025-08-01,R14,1222942
2025-08-01,R15,1580756
2025-08-01,R16,1032583
2025-08-01,R17,1514077
2025-08-01,R18,862992
2025-09-01,R01,1439644
2025-09-01,R02,1125034
2025-09-01,R03,1330230
2025-09-01,R04,993142
2025-09-01,R05,1179497
2025-09-01,R06,878594
2025-09-01,R07,1420579
2025-09-01,R08,972482
2025-09-01,R09,1452518
2025-09-01,R10,1122824
2025-09-01,R11,1564696
2025-09-01,R12,1594781
2025-09-01,R13,1204958
2025-09-01,R14,1483230
2025-09-01,R15,933785
2025-09-01,R16,1397909
2025-09-01,R17,1367637
2025-09-01,R18,1510024
2025-10-01,R01,1568792
2025-10-01,R02,1626283
2025-10-01,R03,1260234
2025-10-01,R04,1362394
2025-10-01,R05,1656083
2025-10-01,R06,1345444
2025-10-01,R07,1657259
2025-10-01,R08,1392469
2025-10-01,R09,1121090
2025-10-01,R10,976430
2025-10-01,R11,1121183
2025-10-01,R12,1263060
2025-10-01,R13,1424760
2025-10-01,R14,1265961
2025-10-01,R15,1769008
2025-10-01,R16,1029680
2025-10-01,R17,1170983
2025-10-01,R18,1413335
2025-11-01,R01,1722448
2025-11-01,R02,1728980
2025-11-01,R03,986202
2025-11-01,R04,1427457
2025-11-01,R05,1551720
2025-11-01,R06,1224549
2025-11-01,R07,1529168
2025-11-01,R08,1173328
2025-11-01,R09,1002253
2025-11-01,R10,1419558
2025-11-01,R11,1057243
2025-11-01,R12,1625686
2025-11-01,R13,1085769
2025-11-01,R14,998056
2025-11-01,R15,1507523
2025-11-01,R16,1487875
2025-11-01,R17,1267358
2025-11-01,R18,1639224
2025-12-01,R01,1207278
2025-12-01,R02,1291015
2025-12-01,R03,1257335
2025-12-01,R04,1762381
2025-12-01,R05,1169257
2025-12-01,R06,1631744
2025-12-01,R07,1140642
2025-12-01,R08,1125097
2025-12-01,R09,1767268
2025-12-01,R10,1278673
2025-12-01,R11,1706171
2025-12-01,R12,1785806
2025-12-01,R13,1752928
2025-12-01,R14,1007600
2025-12-01,R15,1521195
2025-12-01,R16,1371444
2025-12-01,R17,1686593
2025-12-01,R18,1779983
2026-01-01,R01,880744
2026-01-01,R02,1089731
2026-01-01,R03,952560
2026-01-01,R04,852731
2026-01-01,R05,856902
2026-01-01,R06,1142812
2026-01-01,R07,1157438
2026-01-01,R08,1064989
2026-01-01,R09,1330134
2026-01-01,R10,1447435
2026-01-01,R11,1359516
2026-01-01,R12,997288
2026-01-01,R13,1059097
2026-01-01,R14,1355619
2026-01-01,R15,1014422
2026-01-01,R16,850563
2026-01-01,R17,1369482
2026-01-01,R18,832030
2026-02-01,R01,967697
2026-02-01,R02,1099032
2026-02-01,R03,1081432
2026-02-01,R04,1286149
2026-02-01,R05,824767
2026-02-01,R06,1239919
2026-02-01,R07,1358625
2026-02-01,R08,1414483
2026-02-01,R09,830952
2026-02-01,R10,850960
2026-02-01,R11,1383086
2026-02-01,R12,1003465
2026-02-01,R13,1466550
2026-02-01,R14,1056742
2026-02-01,R15,1176084
2026-02-01,R16,1128665
2026-02-01,R17,935940
2026-02-01,R18,904077
2026-03-01,R01,1503453
2026-03-01,R02,1403925
2026-03-01,R03,1239099
2026-03-01,R04,1094923
2026-03-01,R05,943689
2026-03-01,R06,1152082
2026-03-01,R07,1094709
2026-03-01,R08,935566
2026-03-01,R09,912518
2026-03-01,R10,1251885
2026-03-01,R11,891511
2026-03-01,R12,1452902
2026-03-01,R13,1334670
2026-03-01,R14,1494223
2026-03-01,R15,1044087
2026-03-01,R16,1351192
2026-03-01,R17,997202
2026-03-01,R18,1522732
2026-04-01,R01,1559626
2026-04-01,R02,1081459
2026-04-01,R03,1511909
2026-04-01,R04,1428607
2026-04-01,R05,1569118
2026-04-01,R06,1470854
2026-04-01,R07,1227552
2026-04-01,R08,1528353
2026-04-01,R09,1596213
2026-04-01,R10,1167768
2026-04-01,R11,1348550
2026-04-01,R12,1181359
2026-04-01,R13,1585432
2026-04-01,R14,1412909
2026-04-01,R15,962947
2026-04-01,R16,1066384
2026-04-01,R17,980238
2026-04-01,R18,972807
2026-05-01,R01,1049391
2026-05-01,R02,880523
2026-05-01,R03,1296274
2026-05-01,R04,918314
2026-05-01,R05,1445664
2026-05-01,R06,925625
2026-05-01,R07,1071345
2026-05-01,R08,896070
2026-05-01,R09,1285235
2026-05-01,R10,951535
2026-05-01,R11,1573273
2026-05-01,R12,1333981
2026-05-01,R13,1205419
2026-05-01,R14,938760
2026-05-01,R15,933361
2026-05-01,R16,1181961
2026-05-01,R17,1191332
2026-05-01,R18,1128354
2026-06-01,R01,1272707
2026-06-01,R02,1594763
2026-06-01,R03,1246806
2026-06-01,R04,1492848
2026-06-01,R05,1585855
2026-06-01,R06,1175926
2026-06-01,R07,1468881
2026-06-01,R08,851459
2026-06-01,R09,1154712
2026-06-01,R10,1135345
2026-06-01,R11,1552755
2026-06-01,R12,900628
2026-06-01,R13,856806
2026-06-01,R14,1077177
2026-06-01,R15,1361891
2026-06-01,R16,1381205
2026-06-01,R17,1490117
2026-06-01,R18,1313341
2026-07-01,R01,1117738
2026-07-01,R02,1568066
2026-07-01,R03,1242372
2026-07-01,R04,1429145
2026-07-01,R05,1012312
2026-07-01,R06,973547
2026-07-01,R07,1525989
2026-07-01,R08,1174305
2026-07-01,R09,1531683
2026-07-01,R10,1514640
2026-07-01,R11,1029836
2026-07-01,R12,1040589
2026-07-01,R13,1417550
2026-07-01,R14,1229179
2026-07-01,R15,1016063
2026-07-01,R16,1497322
2026-07-01,R17,1059011
2026-07-01,R18,1159223
2026-08-01,R01,1325651
2026-08-01,R02,902511
2026-08-01,R03,1176146
2026-08-01,R04,913421
2026-08-01,R05,1237080
2026-08-01,R06,981257
2026-08-01,R07,1134842
2026-08-01,R08,1068944
2026-08-01,R09,1203679
2026-08-01,R10,1304276
2026-08-01,R11,1537696
2026-08-01,R12,1258991
2026-08-01,R13,1594485
2026-08-01,R14,1105008
2026-08-01,R15,1482891
2026-08-01,R16,1229497
2026-08-01,R17,1138922
2026-08-01,R18,1088706
